iter	Passed	Remaining
835	12939	2538
836	12950	2521
837	12962	2505
838	12976	2490
839	12989	2474
840	13001	2458
841	13012	2441
842	13024	2425
843	13037	2409
844	13048	2393
845	13061	2377
846	13075	2361
847	13089	2346
848	13103	2330
849	13116	2314
850	13127	2298
851	13139	2282
852	13152	2266
853	13166	2250
854	13176	2234
855	13190	2218
856	13203	2203
857	13217	2187
858	13228	2171
859	13241	2155
860	13253	2139
861	13266	2123
862	13277	2107
863	13290	2092
864	13302	2076
865	13315	2060
866	13326	2044
867	13338	2028
868	13350	2012
869	13364	1997
870	13377	1981
871	13389	1965
872	13403	1949
873	13415	1934
874	13428	1918
875	13439	1902
876	13452	1886
877	13464	1870
878	13478	1855
879	13496	1840
880	13511	1825
881	13522	1809
882	13533	1793
883	13546	1777
884	13560	1762
885	13571	1746
886	13583	1730
887	13598	1715
888	13610	1699
889	13623	1683
890	13634	1667
891	13647	1652
892	13660	1636
893	13673	1621
894	13684	1605
895	13698	1590
896	13711	1574
897	13725	1559
898	13738	1543
899	13749	1527
900	13761	1512
901	13774	1496
902	13787	1481
903	13797	1465
904	13811	1449
905	13824	1434
906	13837	1418
907	13848	1403
908	13860	1387
909	13875	1372
910	13888	1356
911	13898	1341
912	13914	1325
913	13926	1310
914	13939	1294
915	13952	1279
916	13963	1263
917	13975	1248
918	13988	1232
919	14002	1217
920	14013	1201
921	14028	1186
922	14044	1171
923	14061	1156
924	14081	1141
925	14098	1126
926	14114	1111
927	14129	1096
928	14143	1080
929	14158	1065
930	14173	1050
931	14189	1035
932	14204	1020
933	14220	1004
934	14234	989
935	14249	974
936	14264	959
937	14277	943
938	14290	928
939	14305	913
940	14323	898
941	14340	882
942	14355	867
943	14370	852
944	14385	837
945	14400	822
946	14418	806
947	14436	791
948	14452	776
949	14469	761
950	14487	746
951	14510	731
952	14529	716
953	14545	701
954	14560	686
955	14575	670
956	14590	655
957	14603	640
958	14618	624
959	14633	609
960	14648	594
961	14661	579
962	14673	563
963	14684	548
964	14698	533
965	14712	517
966	14727	502
967	14741	487
968	14752	471
969	14764	456
970	14777	441
971	14789	426
972	14800	410
973	14812	395
974	14824	380
975	14837	364
976	14849	349
977	14864	334
978	14878	319
979	14890	303
980	14903	288
981	14914	273
982	14927	258
983	14940	242
984	14954	227
985	14966	212
986	14977	197
987	14991	182
988	15006	166
989	15023	151
990	15038	136
991	15050	121
992	15061	106
993	15076	91
994	15088	75
995	15101	60
996	15113	45
997	15125	30
998	15140	15
999	15152	0
